Date,lat,long
07,49.186,-2.045
07,49.245,-2.125
07,49.245,-2.125
07,49.232,-2.202
07,49.196,-2.133
07,49.174,-2.089
07,49.173,-2.088
07,49.182,-2.099
07,49.219,-2.053
07,49.219,-2.053
07,49.194,-2.198
07,49.194,-2.198
07,49.194,-2.198
07,49.194,-2.198
07,49.194,-2.198
07,49.188,-2.175
07,49.176,-2.092
07,49.176,-2.092
07,49.165,-2.035
07,49.176,-2.092
07,49.197,-2.084
07,49.197,-2.084
07,49.198,-2.146
07,49.198,-2.146
07,49.198,-2.146
07,49.198,-2.146
07,49.194,-2.198
07,49.166,-2.039
07,49.208,-2.066
07,49.208,-2.066
07,49.208,-2.066
07,49.181,-2.060
07,49.181,-2.060
07,49.181,-2.060
07,49.191,-2.199
07,49.191,-2.199
07,49.191,-2.199
07,49.177,-2.098
07,49.167,-2.043
07,49.177,-2.098
07,49.198,-2.090
07,49.198,-2.090
07,49.204,-2.071
07,49.235,-2.112
